id,c_id,date
133,527,2019.10.13
141,611,2019.10.17
133,281,2019.10.21
77,263,2019.10.22
77,1077,2019.10.22
135,1272,2019.10.25
148,527,2019.10.28
77,527,2019.10.28
162,527,2019.10.28
70,932,2019.10.29
133,527,2019.11.01
77,527,2019.11.01
93,1266,2019.11.02
70,1127,2019.11.06
133,276,2019.11.08
70,833,2019.11.11
148,527,2019.11.13
144,1240,2019.11.13
65,1240,2019.11.13
133,1161,2019.11.16
77,272,2019.11.18
133,527,2019.11.27
162,527,2019.11.27
96,264,2019.12.06
77,527,2019.12.06
118,1254,2019.12.06
93,272,2019.12.07
153,276,2019.12.07
93,276,2019.12.07
148,297,2019.12.08
70,297,2019.12.08
77,881,2019.12.09
90,281,2019.12.13
144,290,2019.12.15
162,290,2019.12.15
139,1008,2019.12.17
70,1234,2019.12.19
70,1202,2019.12.20
135,1048,2019.12.21
135,1209,2019.12.22
70,511,2019.12.25
133,649,2019.12.26
198,649,2019.12.26
138,1369,2019.12.27
190,119,2019.12.31
133,1171,2020.01.01
135,1171,2020.01.01
148,775,2020.01.03
98,775,2020.01.03
133,962,2020.01.06
70,962,2020.01.06
106,221,2020.01.08
133,506,2020.01.16
135,1048,2020.01.17
105,604,2020.01.19
133,611,2020.01.21
139,1113,2020.01.23
148,611,2020.01.25
197,171,2020.01.30
200,290,2020.01.30
193,1199,2020.01.31
153,130,2020.02.04
77,130,2020.02.04
190,212,2020.02.11
81,877,2020.02.13
145,498,2020.02.19
106,263,2020.02.24
190,613,2020.02.24
72,1171,2020.02.26
162,137,2020.02.27
202,937,2020.02.27
133,982,2020.02.27
144,611,2020.02.28
116,611,2020.02.28
135,608,2020.03.01
151,1026,2020.03.02
188,1026,2020.03.02
190,754,2020.03.03
133,1124,2020.03.03
87,498,2020.03.04
89,937,2020.03.04
162,1272,2020.03.06
77,526,2020.03.07
93,523,2020.03.11
148,523,2020.03.11
77,523,2020.03.11
190,523,2020.03.11
81,261,2020.03.13
133,1251,2020.03.13
72,611,2020.03.16
139,121,2020.03.18
208,498,2020.03.19
190,339,2020.03.20
139,611,2020.03.20
89,877,2020.03.20
148,1250,2020.03.20
202,212,2020.03.24
124,293,2020.03.25
70,611,2020.03.25
140,886,2020.04.02
72,886,2020.04.02
77,647,2020.04.04
151,1171,2020.04.06
199,171,2020.04.08
193,212,2020.04.09
135,1153,2020.04.11
93,1094,2020.04.13
76,547,2020.04.14
76,212,2020.04.15
116,614,2020.04.16
77,455,2020.04.23
224,498,2020.04.23
95,727,2020.04.23
162,1390,2020.04.24
76,1171,2020.04.30
139,167,2020.05.02
162,300,2020.05.04
220,290,2020.05.09
131,978,2020.05.11
190,1386,2020.05.15
193,1386,2020.05.15
76,122,2020.05.17
190,270,2020.05.18
138,837,2020.05.18
162,1399,2020.05.18
231,498,2020.05.19
231,527,2020.05.19
162,527,2020.05.19
196,991,2020.05.19
135,377,2020.05.21
66,455,2020.05.22
225,455,2020.05.27
198,212,2020.05.28
200,212,2020.05.28
207,527,2020.05.28
147,455,2020.05.29
224,225,2020.05.31
225,1163,2020.06.10
188,1270,2020.06.10
133,368,2020.06.11
128,368,2020.06.11
202,1272,2020.06.12
72,841,2020.06.15
81,884,2020.06.17
197,1266,2020.06.17
77,269,2020.06.18
70,504,2020.06.18
70,614,2020.06.21
133,455,2020.06.22
138,455,2020.06.22
75,455,2020.06.23
135,1255,2020.06.24
77,1255,2020.06.24
70,1255,2020.06.24
90,262,2020.06.25
162,262,2020.06.25
133,929,2020.06.27
135,368,2020.06.29
225,1149,2020.06.30
77,281,2020.07.03
70,281,2020.07.03
162,1005,2020.07.04
226,1149,2020.07.04
148,1149,2020.07.04
77,874,2020.07.06
110,874,2020.07.06
112,874,2020.07.06
207,526,2020.07.07
226,884,2020.07.08
106,884,2020.07.08
77,884,2020.07.08
98,884,2020.07.08
225,231,2020.07.10
198,929,2020.07.10
226,929,2020.07.10
77,929,2020.07.10
75,350,2020.07.11
241,455,2020.07.13
224,455,2020.07.13
89,1023,2020.07.15
100,1023,2020.07.15
231,186,2020.07.16
231,497,2020.07.16
77,1151,2020.07.16
241,1171,2020.07.16
224,341,2020.07.17
93,455,2020.07.17
225,526,2020.07.17
200,526,2020.07.17
240,350,2020.07.18
66,499,2020.07.18
231,519,2020.07.18
67,519,2020.07.18
70,519,2020.07.18
222,836,2020.07.18
194,915,2020.07.20
77,915,2020.07.20
112,808,2020.07.21
139,239,2020.07.22
190,239,2020.07.22
133,504,2020.07.23
133,877,2020.07.24
135,1356,2020.07.26
189,841,2020.07.27
240,1171,2020.07.27
225,1270,2020.07.29
280,523,2020.07.30
75,442,2020.08.03
77,442,2020.08.03
162,838,2020.08.03
162,838,2020.08.03
151,186,2020.08.05
240,245,2020.08.07
241,1389,2020.08.08
240,1389,2020.08.08
243,1389,2020.08.08
194,822,2020.08.11
190,822,2020.08.11
81,877,2020.08.11
194,929,2020.08.12
231,929,2020.08.12
133,1001,2020.08.13
194,1001,2020.08.13
135,137,2020.08.14
224,137,2020.08.14
75,524,2020.08.17
70,137,2020.08.19
125,884,2020.08.19
70,269,2020.08.20
77,661,2020.08.20
70,661,2020.08.20
119,1383,2020.08.20
249,1383,2020.08.20
70,509,2020.08.22
70,126,2020.08.23
202,281,2020.08.25
243,1383,2020.08.26
95,455,2020.08.28
224,1383,2020.08.30
162,290,2020.09.01
198,455,2020.09.04
240,455,2020.09.04
226,455,2020.09.04
103,455,2020.09.04
194,455,2020.09.04
231,455,2020.09.04
202,455,2020.09.04
81,455,2020.09.04
222,455,2020.09.04
70,342,2020.09.05
194,269,2020.09.07
77,269,2020.09.07
194,281,2020.09.07
81,838,2020.09.08
77,442,2020.09.09
257,455,2020.09.10
115,455,2020.09.10
190,455,2020.09.10
196,455,2020.09.10
133,841,2020.09.10
240,933,2020.09.10
194,933,2020.09.10
