c_id,c_name,id,alname,al_star,date
0,Applepang,141,구름을 벗삼아,4,2021.12.25
1,Bkaysk,1064,"동백꽃, 제주",4,2022.07.22
2,Busansimin,1049,금설,5,2022.04.21
3,Clara,1094,고도리 샤인머스캣 와인 (망고포도),5,2022.05.04
3,Clara,190,고도리 복숭아 와인,5,2022.05.04
4,DGSW,1016,미르 40%,4,2022.02.27
5,DunHill,1105,솔섬 17%,5,2021.12.28
6,Elisa,77,매실원주,4.5,2022.06.23
7,F********Y,352,금이산 복숭아 와인,5,2021.04.07
7,F********Y,309,시나브로 에뚜왈 화이트 스파클링 와인,5,2021.03.29
8,GERRARD,1051,궁중술 왕주,5,2022.01.31
8,GERRARD,194,고흥 유자주 8%,5,2021.12.15
8,GERRARD,1043,만월 24%,5,2022.02.04
8,GERRARD,77,매실원주,5,2022.02.04
8,GERRARD,1085,밀담 52%,5,2022.02.04
8,GERRARD,70,서울의 밤,5,2022.02.04
8,GERRARD,1092,안동소주 일품 40% 골드,5,2022.02.04
9,Goyu,194,고흥 유자주 8%,5,2022.03.08
10,HC,1054,만월 40%,5,2022.04.21
10,HC,70,서울의 밤,4,2022.04.21
11,J0J,1094,고도리 샤인머스캣 와인 (망고포도),5,2022.06.29
12,JGM,224,혼디주,2.5,2022.05.24
13,JKBeNI,77,매실원주,4,2021.12.21
14,JKLEE,194,고흥 유자주 8%,4.5,2022.08.09
14,JKLEE,194,고흥 유자주 8%,4.5,2022.08.09
14,JKLEE,254,꿀샘16,4,2022.08.09
14,JKLEE,1224,허니문배,4,2022.08.09
15,Jjh2,116,청명주 약주 17%,5,2022.06.07
16,KITE,1147,보일러 틀어놨어,5,2021.12.08
16,KITE,133,담은,5,2021.06.21
16,KITE,133,담은,5,2021.06.17
16,KITE,135,복순도가 손 막걸리,5,2021.03.15
16,KITE,138,오희,5,2021.08.27
16,KITE,1092,안동소주 일품 40% 골드,5,2022.05.03
16,KITE,1094,고도리 샤인머스캣 와인 (망고포도),5,2021.11.01
16,KITE,1064,"동백꽃, 제주",5,2022.03.18
16,KITE,309,시나브로 에뚜왈 화이트 스파클링 와인,5,2021.07.14
17,Leejin,362,별산 막걸리,5,2022.07.04
17,Leejin,292,편백숲 산소막걸리 딸기 스파클링,5,2022.07.04
17,Leejin,153,붉은 원숭이,5,2022.04.27
17,Leejin,1217,오메기술 13%,5,2022.04.27
17,Leejin,1051,궁중술 왕주,5,2022.07.04
17,Leejin,70,서울의 밤,5,2022.07.04
17,Leejin,219,댄싱파파,4,2022.04.27
18,Lycoris,1049,금설,5,2021.12.20
19,MJMJ,1094,고도리 샤인머스캣 와인 (망고포도),4.5,2022.05.12
20,Miucloud,294,고도리 자두 와인,5,2022.01.12
21,Nihilist,1112,두레앙 22%,5,2022.05.03
22,Ohshe,194,고흥 유자주 8%,4.5,2022.01.07
23,Ozzi,81,추사 40%,5,2022.07.17
23,Ozzi,196,고도리 화이트 청수 와인,5,2022.06.15
23,Ozzi,82,추사 애플 와인,5,2022.08.02
23,Ozzi,98,허니비 와인,4.5,2022.07.14
