u_id,감칠맛,걸쭉함,견과류_땅콩_잣향,고소함,곡물_옥수수_보리,기타_커피_캐러멜_토란,깔끔,꿀맛_당류,누룩,다양,단맛,독특,드라이,레몬_유자류_감귤류_자몽,매실류_파인애플,바나나_망고_멜론,바닐라_국화_매화_연꽃_유채꽃_꽃향,베리류_딸기,사과_배_감,스모키한,신맛,여운,열대과일,오디_복분자,오미자류,음료,인삼_생강강황_약재,자두_복숭아_체리,잔잔한,조화,진득,청_포도,청량,탄닌감,탄산,풀내음_나무_볏짚,허브_시트러스,화끈함
0,4,0.363636364,,0.68961039,0.363636364,,0.781412338,0.714285714,1.428571429,0.9,4,4,0.714285714,0.875,0.714285714,,,0.875,0.712878788,0.9,0.979978355,,,0.714285714,,,,,0.810822511,0.272727273,0.363636364,0.272727273,4,,0.895048701,0.9,,0.9
1,2.5,0.625,,1.739583333,2,,2.5,1.0625,4.5,,4.5,1.739583333,,1.75,0.625,,,,2.5,,2,4.5,,0.625,,,,,4.5,,0.625,,2.5,0.625,0.625,,,4.5
2,5,,,5,5,,5,,,,5,5,,,,,,,,,,,,,,,,,,,5,,,,,,,5
3,1.15,,,1.166666667,1.166666667,,1.203125,,1.166666667,1.145833333,5,1.055555556,,1.15625,1.333333333,,,0.666666667,1.166666667,,5,,,,,,,2.5,2.5,2.5,1.666666667,2.5,1.267857143,,0.895833333,,2.5,
4,4,0.549450549,0.305944056,4,4,0.564060939,2.496858697,0.591991342,4,0.994055944,4,4,0.714285714,0.680819181,0.508871129,0.714285714,0.436688312,0.495454545,0.52997003,0.305944056,1.971853147,1.200491175,,0.470779221,0.392307692,0.571428571,0.384615385,0.738095238,4,1.207967033,4,0.340909091,4,,0.544405594,0.641192141,0.384615385,1.265553197
5,5,,,5,2.754464286,,5,1,1.807142857,0.863095238,5,5,0.714285714,1.878571429,0.732142857,,,0.75,,,2.307142857,2.502857143,,,1,,1.391666667,,5,1,,,5,,0.857142857,1.116071429,,0.863095238
6,,,,,,,,,,,4.5,4.5,,,4.5,,,,,,4.5,,,,,,,,,,,,,,,,,
7,5,,,1,1.15,1,2.5,,1.333333333,2.5,5,1.333333333,,2.5,2,,2.5,1.5,1.233333333,0.8,5,1.65,2.5,,1.333333333,,,2.5,2.5,2.5,0.933333333,1,2.5,,5,0.8,1,0.8
8,4.285714286,0.216140642,0.093023256,1.428571429,1.428571429,0.225223614,3.571428571,0.714285714,1.428571429,0.714285714,5,0.714285714,0.30546761,0.714285714,1.428571429,0.23618566,0.3989701,1.428571429,0.504089507,0.714285714,2.142857143,0.714285714,0.32279298,0.714285714,0.227719156,0.315238678,0.326652264,0.714285714,2.142857143,0.833032795,0.714285714,0.520449155,2.142857143,0.461161388,0.689352697,0.41356799,0.387475098,1.428571429
9,5,,,5,5,,,,5,,5,,,5,,,,,,,5,,,,,,,,5,,,,,,,,,
10,4.5,,,1.7,2,,4.5,,,1.9,4.5,2.5,,,2,,1,4.5,,,1,,,2.5,,,1.5,,2,,,,4.5,,,1.5,,2.5
11,,,,,,,,,,,5,,,,,,,,,,5,,,,,,,,,5,,5,,,,,,
12,2.5,,,2.5,,,2.5,,2.5,,2.5,2.5,,2.5,,,,,,,2.5,2.5,,,,,,,2.5,,,,2.5,,,,,
13,,,,,,,,,,,4,4,,,4,,,,,,4,,,,,,,,,,,,,,,,,
14,4.25,0.2,0.1,3.25,2.25,0.111111111,2,1,2.25,1,4.25,1.597881778,0.695707071,3.25,0.388888889,1,0.5996633,0.173976608,1,0.308187135,4.25,2,1,,1.25,,0.454545455,0.311111111,4.25,1.086361421,0.768952685,0.445614035,2,,1,0.682373737,0.760185185,1
15,1.704861111,,0.444444444,1.504365079,5,0.92962963,5,1.444444444,5,1.4375,5,5,0.388888889,1,0.96,0.444444444,0.472222222,1.133333333,1.5,0.472222222,5,0.394444444,0.694444444,,0.422222222,0.388888889,,5,5,5,5,5,5,,0.798611111,,0.722222222,0.414814815
16,1.666666667,0.468514329,0.433523267,1.182696298,0.555555556,0.379807692,1.666666667,0.926152869,2.222222222,0.555555556,4.444444444,0.555555556,0.334164292,0.455526893,0.568249047,0.488056533,0.370192308,0.353960673,0.685149273,0.555555556,2.777777778,1.111111111,0.437883358,0.382422105,0.555555556,0.117402659,0.192307692,0.57977208,1.111111111,1.111111111,1.111111111,0.555555556,1.666666667,,2.777777778,0.401917142,0.384615385,0.555555556
17,3.428571429,0.11627907,0.542080201,2.142857143,1.428571429,0.269632991,4.142857143,0.318084498,0.714285714,1.428571429,4.857142857,1.428571429,0.466399514,0.611498395,0.714285714,0.714285714,0.274612403,1.428571429,0.571428571,0.244036971,2.714285714,1.428571429,0.298366718,0.242152654,0.319419337,0.379504284,0.364782884,0.372176528,2.857142857,0.815009003,0.819648223,0.571428571,4.142857143,0.337720369,2,0.491154033,0.26710134,0.544151617
18,5,,,5,5,,5,,,,5,5,,,,,,,,,,,,,,,,,,,5,,,,,,,5
19,,,,,,,,,,,4.5,,,,,,,,,,4.5,,,,,,,,,4.5,,4.5,,,,,,
20,1.12797619,,1.333333333,0.357142857,1,,5,,0.571428571,,5,0.916666667,,1.043650794,0.916666667,,0.285714286,0.607142857,0.773809524,0.625,5,0.553571429,0.285714286,,,,,5,1.874255952,1.460714286,0.482142857,1.691468254,5,,0.773809524,,1.582589286,0.5
21,5,,,5,5,,5,,,,5,,,,,,,,,,,2.5,,,,,,,5,,,5,,,,,,
22,4.5,,,4.5,4.5,,,,4.5,,4.5,,,4.5,,,,,,,4.5,,,,,,,,4.5,,,,,,,,,
23,2.5,0.370879121,1.666666667,1.270493542,1.109244265,,3.625,1.125,0.548573959,1.25,4.875,1.25,0.375,1.063947368,0.653426836,0.321428571,1.25,0.416473877,2.5,2.5,3.625,0.709288245,1.25,0.357142857,0.357142857,0.236842105,0.455357143,1.048238866,2.196898898,3.625,0.825800077,2.375,2.375,,1.04048583,1.25,1.25,2.5
24,2.5,,,2.5,2.5,1.125,1.322916667,,2.5,1.25,5,1.420833333,,2.5,1.38125,,,,,,5,,,,1.25,,,1.791666667,2.5,2.5,1.125,2.5,1.347222222,,1.125,,1.5,
25,3.166666667,0.714285714,,1.666666667,3.166666667,1.023809524,3.166666667,,1.666666667,0.918650794,3.166666667,1.666666667,,1.430555556,3.166666667,,,1.5,1.21031746,0.714285714,3.333333333,1.347222222,,,,,1.666666667,,1.5,1.18452381,1.023809524,,3.166666667,,,0.714285714,,0.982142857
26,5,,,5,5,,,,5,,5,,,5,,,,,,,5,,,,,,,,5,,,,,,,,,
27,,,,,,,,,,,5,5,,,5,,,,,,5,,,,,,,,,,,,,,,,,
28,2.5,,,,2.5,,2.5,,,,5,2.5,,,5,,,2.5,,,2.5,,,,,,,,2.5,,,,2.5,,,,,
29,1.997252747,0.942307692,,2.391025641,2.487179487,,5,,1.017094017,0.933760684,5,1.405982906,1.375,,0.88034188,2.25,0.384615385,0.88034188,5,0.769230769,2.600961538,1.239316239,0.384615385,,0.833333333,,,1.517094017,5,5,1.728365385,1.602564103,5,,0.655982906,1.75,0.384615385,0.769230769
30,2,,0.227272727,2.25,2.25,0.272727273,4.25,0.751456876,1.069347319,1.044055944,4.25,1.105769231,1.3125,0.453962704,1.085227273,,0.579545455,1.28030303,0.994055944,0.838578089,1.384178322,2.25,,0.227272727,,,,0.769230769,4.25,0.620629371,2.25,0.475524476,2,,0.283216783,2,,1.180506993
