id,alname,category,degree,sweet,acid,light,body,carbon,bitter,tannin,nutty,bright,strength,spicy,img,detail
1230,이상헌 탁주 14%,탁주,14,1,4,7,4,2,,,,,,,https://www.sooldamhwa.com/_next/image?url=https%3A%2F%2Fd38cxpfv0ljg7q.cloudfront.net%2Fadmin_contents%2Fthumbnail%2FmWQw-1650972837285-%25EC%259D%25B4%25EC%2583%2581%25ED%2597%258C%2520%25ED%2583%2581%25EC%25A3%25BC%252014.jpg&w=3840&q=75,"이상헌 탁주 14, 어떤 맛을 갖고 있나요?

톡 쏘는 알코올 향 사이로 배에서 느낄 수 있는 시원한 향이 올라와요.

술을 한 입 마시면 옅은 단맛이 빠르게 스쳐 지나가고 입안은 금방 드라이하게 마무리됩니다.

깔끔한 목 넘김이 지나간 뒤, 높은 도수로 인해 목 안까지 전해지는 작열감을 느낄 수 있어요.

술을 넘긴 뒤에는 입 안에 씁쓸한 뒷맛이 남아 여운을 선사합니다.
이상헌 탁주 14, 어떤 음식과 잘 어울리나요?

기름진 음식과 함께해 보세요.

이상헌 탁주 14는 깔끔한 목 넘김과 높은 도수를 가지고 있어 기름진 음식과 잘 어울리는데요.

화~한 알코올 향으로 인해 기름으로 눌러져 있던 입 안은 개운함을 느끼게 되고,

깔끔한 목 넘김과 함께 산뜻하게 마무리 될 거예요.

짙은 양념의 음식은 옅은 술의 맛을 헤칠 수 있으니 피하시는 것을 추천해 드립니다.
이상헌 탁주 14, 알고 마시면 더 맛있어요!

이상헌 탁주 14는 술을 3번 담그는 삼양주 방식으로 만듭니다.

이때 양조장에서 직접 디딘 밀 누룩으로 만든 석임을 넣고 발효를 진행해요.

100일 동안 발효와 숙성기간을 거친 술은 물을 혼합하여 도수를 맞춘 뒤 완성돼요.

 술맛에 중요한 역할을 하는 물은 추사고택의 샘물을 길어와서 사용해요.

추사고택은 조선 후기의 실학자이자 대표적인 서예가였던 추사 김정희 선생의 생가입니다.

 석임은 고두밥에 누룩을 섞어 많은 양의 효모를 증식시키는 방식으로 안정적으로 술을 빚는 방법입니다.

석임을 누룩 대신 투입함으로써,

총 만들 술의 양에 비해 누룩이 적게 들어가기 때문에 누룩취를 줄이고 깔끔한 맛의 술을 만들 수 있다는 장점이 있죠."
1221,분홍탁주 6%,탁주,6,5,3,6,4,2,,,,,,,https://www.sooldamhwa.com/_next/image?url=https%3A%2F%2Fd38cxpfv0ljg7q.cloudfront.net%2Fadmin_contents%2Fthumbnail%2FTIIM-1649400725806-1.jpg&w=3840&q=75,"분홍탁주 6, 어떤 맛을 갖고 있나요?

연한 분홍색에 잿빛 한 방울을 떨어 트린 듯, 탁한 분홍빛을 가진 탁주입니다.

돌배가 들어간 술인만큼 배의 단맛이 은은하게 느껴지는데요.

입안을 자극하는 쨍한 단맛이 아닌 깔끔한 단맛을 가지고 있기 때문에,

단맛에 거부감이 있으신 분들도 부담 없이 즐길 수 있습니다.

또한 시원한 배향과 물처럼 묽게 흐르는 질감 덕에 청량감 있게 벌컥벌컥 들이켜기도 좋아요.
 분홍탁주 6, 어떤 음식과 잘 어울리나요?

양념이 강한 요리는 자칫 술의 깔끔한 맛을 가려버릴 수 있어요.

맛과 향이 옅은 술인만큼 담백한 요리와 드시는 것을 추천해 드립니다.

음식과 술, 둘 다 강렬한 맛을 자랑하지 않지만 담백함으로도 조화로운 술상이 만들어 질 거예요.
 분홍탁주 6, 알고 마시면 더 맛있어요!

수확한 돌배는 깨끗하게 씻은 후 냉장고에서 두 달 동안의 저온 숙성을 거칩니다.

무르게 잘 숙성된 돌배는 진한 단맛과 함께 붉은색을 띠는데요.

숙성된 돌배를 잘게 잘라 쌀과 함께 쪄서 술을 담급니다.

완성된 술은 한 달 동안 숙성 기간을 거친 후 분홍탁주로 완성돼요.

쌀의 흰색과 숙성된 돌배의 붉은색이 혼합되어 비로소 이름에 걸맞은 분홍빛이 탄생하는 것이죠."
1220,마실꾸지,탁주,7,6,5,6,4,2,,,,,,,https://www.sooldamhwa.com/_next/image?url=https%3A%2F%2Fd38cxpfv0ljg7q.cloudfront.net%2Fadmin_contents%2Fthumbnail%2Fa7pq-1649400825257-1.jpg&w=3840&q=75,"마실꾸지, 어떤 맛을 갖고 있나요?

파스텔톤의 주황색이 존재감을 드러내며 눈길을 사로잡아요.

술을 넘기는 순간 꾸지뽕의 새콤달콤함이 혀에 착 감기면서 주스처럼 부드럽게 넘어갑니다.

혀를 미세하게 자극하는 탄산도 술을 마시는 데에 있어 재미있는 요소로 다가올 거예요.

술을 마신 후에 입안에 남은 라즈베리 향은 오랫동안 머물면서 산뜻한 여운을 선사합니다.
 *술에 보이는 붉은색 건더기들은 꾸지뽕에서 나오는 섬유질이므로 안심하고 드세요!
 마실꾸지, 어떤 음식과 잘 어울리나요?

묵직한 풍미를 가진 고기 요리와 드셔보시는 것을 추천해 드려요.

새콤달콤한 술맛은 느끼하고 기름진 맛을 잡아주기 때문에 고기 맛을 물리지 않게끔 도와주거든요.

기름에 튀긴 디저트인 만큼 먹으면 입술이 반들반들하게 코팅되는 도넛과도 잘 어울리는데요.  

술의 색과 걸맞게 디저트로도 화려하게 즐길 수 있을 거예요.
 마실꾸지, 알고 마시면 더 맛있어요!

경남 밀양의 지역 농가에서 재배한 꾸지뽕 열매를 사용합니다.

다홍색의 꾸지뽕 열매는 술과 함께 섞였을 때 파스텔톤의 주황 색깔을 만들어내죠.

술을 발효하고 숙성하는 공간에는 항상 클래식을 틀어놓는데요. 

음의 파장이 효모의 활동량에 활발하게 만들어주기 때문에 술의 맛에도 영향을 끼친답니다."
1207,희양산막걸리 9%,탁주,9,2,6,5,4,0,,,,,,,https://www.sooldamhwa.com/_next/image?url=https%3A%2F%2Fd38cxpfv0ljg7q.cloudfront.net%2Fadmin_contents%2Fthumbnail%2FqKI5-1645783287226-%25ED%259D%25AC%25EC%2596%2591%25EC%2582%25B0%2520%25EB%25A7%2589%25EA%25B1%25B8%25EB%25A6%25AC.jpg&w=3840&q=75,"희양산 막걸리 9, 어떤 맛을 갖고 있나요?

잔에 따르면서 보이는 술의 묽은 질감은 시원하게 한 잔 들이켜고 싶은 욕구를 불러일으킵니다.

술을 마신 순간, 산뜻하게 느껴지는 산미는 입안을 가득 채워 줘요.

또한 가벼운 목 넘김을 가지고 있어 꿀꺽꿀꺽 들이키게 된답니다.

입안에 남은 고소함과 약간의 떫은맛은 술의 맛을 더욱 풍미 있게 즐길 수 있도록 도와줘요.
희양산 막걸리 9, 어떤 음식과 잘 어울리나요?

양념치킨처럼 기름에 튀긴 후 양념을 입힌 음식과 함께 드셔보세요!

희양산 막걸리의 산뜻한 산미는 기름진 맛과 잘 어우러져 느끼함을 잘 잡아줍니다.

게다가 입안을 지배했던 찐득한 양념은 술이 가진 청량감으로 인해 싸악 씻겨 내려갈 거예요.
희양산 막걸리 9, 알고 마시면 더 맛있어요!

두 번의 발효 과정을 거치는 이양주 방식으로 빚은 술입니다.

발효가 끝난 막걸리는 한 달 동안 저온 숙성을 거쳐 완성돼요.

그 덕에 날카로운 산미가 아닌, 부드러운 산미가 더욱 돋보이는 술이 됐답니다.

 희양산 막걸리의 라벨 그림은 동화 작가 전미화씨의 작품으로 이루어졌습니다.

계절이나 동물, 그 당시의 사회적 이슈 등을 표현한 라벨은 여러 차례씩 바뀌어요.

고리타분하다고 느낄 수 있는 막걸리 라벨을 하나의 예술 작품으로 재탄생시켰습니다.

매번 바뀌는 그림으로 인해 마치 막걸리 전시회에 온 듯한 기분을 들게 할 거예요."
1201,자연담은 복분자 막걸리,탁주,6,8,3,4,4,0,,,,,,,https://www.sooldamhwa.com/_next/image?url=https%3A%2F%2Fd38cxpfv0ljg7q.cloudfront.net%2Fadmin_contents%2Fthumbnail%2Fmcu5-1645437591022-%25EC%259E%2590%25EC%2597%25B0%25EB%258B%25B4%25EC%259D%2580%2520%25EB%25B3%25B5%25EB%25B6%2584%25EC%259E%2590%2520%25EB%25A7%2589%25EA%25B1%25B8%25EB%25A6%25AC-7.jpg&w=3840&q=75,"자연담은 복분자 막걸리, 어떤 맛을 갖고 있나요?

마치 꿀타래를 먹는 듯, 복분자의 달콤함이 입안에 사르르 녹아내려요.

탄산이 없어서 부드러운 목 넘김으로 꿀꺽꿀꺽 마실 수 있을 거예요.

술을 마신 후 여운으로 남는 고소함은 술의 풍미를 더욱 풍성하게 만들어 주기도 합니다.
자연담은 복분자 막걸리, 어떤 음식과 잘 어울리나요?

매콤하게 양념 된 음식과 함께 해보세요.

포도 주스처럼 달콤한 맛을 가진 술인 만큼 매운맛을 잘 잡아줍니다.

부드럽게 느껴지는 술의 질감도 매운맛으로 자극 받은 입안을 편안하게 진정시켜 줄 거예요.
자연담은 복분자 막걸리, 알고 마시면 더 맛있어요!

복분자와 생쌀을 함께 발효시켜 만든 막걸리예요.

이때 생쌀은 효모가 당분을 쉽게 먹고 알코올을 잘 만들 수 있도록 곱게 갈아서 사용합니다.

이렇게 만들어진 막걸리는 매우 고운 입자를 갖게 되며 깔끔한 맛과 부드러운 질감을 나타내게 돼요."
1199,표문 막걸리,탁주,6,6,5,6,5,0,,,,,,,https://www.sooldamhwa.com/_next/image?url=https%3A%2F%2Fd38cxpfv0ljg7q.cloudfront.net%2Fadmin_contents%2Fthumbnail%2FQzzk-1660892348639-1.jpg&w=3840&q=75,"※ 라벨 변경 안내
해당 상품은 병 전체를 감싸는 라벨로 변경되었습니다
상기 이미지 참고하여 구매 바랍니다 :)
표문 막걸리, 어떤 맛을 갖고 있나요?

시원한 배의 향이 술 잔 가득 퍼집니다. 

입에 감기는 달달한 맛은 감칠맛으로 번져 혀에 착 하고 감기는데요.

마치 잘 익은 홍시를 한 숟갈 떠서 먹은 듯, 입안을 포근하게 감싸준답니다.

달콤한 맛 뒤에 오는 새콤한 산미는 술의 맛을 더욱 조화롭게 만들어요.

깔끔한 목 넘김 덕분에 청량감 있게 꿀꺽꿀꺽 마시기 좋습니다.
 표문 막걸리, 어떤 음식과 잘 어울리나요?

피자처럼 느끼한 음식과 드셔보세요.

새콤한 산미를 가지고 있는 술은 느끼한 맛을 중화시켜줍니다.

또한 달달하면서 가벼운 질감을 가지고 있어 매콤한 음식과도 잘 어울리는데요.

매운 음식을 먹을 때 청량감 있는 음료수를 찾는 것처럼

표문 막걸리가 그 역할을 톡톡히 해낸답니다. 
 표문 막걸리, 알고 마시면 더 맛있어요!

한강주조와 대한제분 곰표가 콜라보 하여 탄생한 막걸리예요.

곰표를 뒤집어 놓은 ‘표문’이라는 이름은 막걸리를 마시기 전, 

뒤집어서 흔드는 것에 영감을 얻었다고 해요.

‘막걸리는 올드한 술이다.’라는 인식을 뒤집어

힙한 감성으로 맞바꿈 한 막걸리라고 할 수 있죠!"
1198,배금도가 수제 막걸리,탁주,12,4,8,6,7,0,,,,,,,https://www.sooldamhwa.com/_next/image?url=https%3A%2F%2Fd38cxpfv0ljg7q.cloudfront.net%2Fadmin_contents%2Fthumbnail%2FUowp-1644573630752-1jpg.jpg&w=3840&q=75,"※ 포장 안내
1000ml 배금도가 수제 막걸리는 단품 박스에 담겨 배송됩니다. (상기 이미지 참고)
500ml 배금도가 수제 막걸리에는 박스가 포함되지 않으니 참고 바랍니다.
배금도가 수제 막걸리, 어떤 맛을 갖고 있나요?

참외에서 느낄 법한 달콤한 과즙 향이 잔에 은은히 퍼져요.

달달한 향과 반대로 새콤한 산미가 입안을 감싸줍니다.

새콤한 맛 사이로 올라오는 콤콤함은 마치 시골 된장의 구수함처럼 정겹게 느껴질 거예요. 
 배금도가 수제 막걸리, 어떤 음식과 잘 어울리나요?

톡 쏘는 산미를 가진 배금도가는 기름진 음식과 잘 어울립니다.

무거울 수 있는 기름진 맛을 산미가 잡아주고, 

싹 씻겨 내려가게 만들어 줄 거예요.

튀는 산미가 부담스러우시다면 얼음을 하나 띄어서 드셔보세요!

새콤한 맛이 산뜻함으로 바뀌어 좀 더 가볍게 즐길 수 있답니다.

배금도가 수제 막걸리, 알고 마시면 더 맛있어요! 

누룩은 술의 맛과 향을 결정하는 데에 있어 중요한 역할을 해요.

밀, 녹두, 쌀을 배합하여 직접 디딘 누룩으로 빚은 술인만큼,

배금도가 막걸리 맛은 다른 술에서는 찾아볼 수 없답니다.

또한 한 달의 발효와 5개월의 숙성을 거쳐, 

총 6개월의 시간과 정성이 투여된 술이에요."
1189,얼떨결에 퍼플,탁주,6,6,7,4,4,7,,,,,,,https://www.sooldamhwa.com/_next/image?url=https%3A%2F%2Fd38cxpfv0ljg7q.cloudfront.net%2Fadmin_contents%2Fthumbnail%2FutRL-1643388270514-1jpg.jpg&w=3840&q=75,"얼떨결에 퍼플, 어떤 맛을 갖고 있나요?

톡톡 터지는 탄산 기포 소리에 집중해 보세요. 

자글자글한 소리에 저절로 귀를 기울이게 될 거예요.

새콤달콤한 포도 향은 입안을 스며들며 입안 가장자리 침샘을 자극합니다.

자칫 강하게 느껴질 수 있는 산미는 찰보리쌀의 고소함으로 감싸질 거예요. 
 얼떨결에 퍼플, 어떤 음식과 잘 어울리나요?

치즈가 들어간 느끼한 음식과 즐겨보세요!

술이 가진 새콤한 산미는 치즈의 무겁고 느끼한 맛을 산뜻하게 잡아줍니다.

그리고 탄산의 청량감은 한 번 더 입안을 깔끔하게 정돈해 줘요.

느끼한 음식을 먹을 때 탄산음료를 찾게 되듯, 저절로 술에 손이 가게 될 거예요.
 얼떨결에 퍼플, 알고 마시면 더 맛있어요!

발효 과정 때 전분의 호화가 잘 진행되도록 찰기가 있는 찰보리쌀을 사용합니다.

보리는 술의 고소한 맛과 시원한 청량감을 주는 역할을 하는데요.

그로 인해 술의 산미와 바디감을 조절할 수 있답니다.

마치 맥주 맛 균형을 잡아주는 맥아처럼 찰보리쌀이 그 역할을 똑똑히 해내고 있어요.


술에서 느껴지는 탄산은 발효 과정에서 생기는 천연 탄산이에요.

발효가 완전히 끝나기 전에 병입을 함으로써

따로 탄산가스를 주입하지 않고도 스파클링을 느낄 수 있답니다."
1164,하얀 까마귀,탁주,8,7,5,6,7,0,,,,,,,https://www.sooldamhwa.com/_next/image?url=https%3A%2F%2Fd38cxpfv0ljg7q.cloudfront.net%2Fadmin_contents%2Fthumbnail%2F6Tkg-1642728858335-1.jpg&w=3840&q=75,"※ 하얀 까마귀 1병 + 전용잔 + 굿즈 세트 옵션이 있는 제품입니다.

자세한 이미지는 상세페이지 하단을 참고해주세요.

하얀 까마귀, 어떤 맛을 갖고 있나요?

우유처럼 부드러운 질감을 가지고 있어 꿀꺽꿀꺽 마시기 좋아요.

다 마신 후에 입안에 생기는 옅은 막마저 우유를 연상시킵니다.

포근하게 느껴지는 단맛이 넘어가고 은은한 씁쓰름함이 올라오는데요.

산뜻하게 올라오는 알콜감 덕에 금방 개운해질 거예요.

하얀 까마귀, 어떤 음식과 잘 어울리나요?

튀기거나 진득한 농도를 가진 음식과 드셔보세요!

입안에 남은 텁텁함과 기름진 맛이 술의 묵직한 질감과 함께 싹 내려갈 거예요.

찜닭 같은 짭조름한 음식과도 궁합이 좋은데요.

술의 달콤쌉쌀한 맛이 짠맛을 잘 잡아주고 식욕을 당기는 감칠맛으로 바꿔줄 거예요.
 하얀 까마귀, 알고 마시면 더 맛있어요!

까마귀는 오산시를 상징하는 동물이에요.

여기에 막걸리의 특징인 뽀얀 색이 곁들여져 ‘하얀 까마귀’라는 이름이 붙여졌습니다.

예로부터 흰 동물은 좋은 의미를 상징해왔기 때문에

흉조를 나타내는 검은 까마귀와 달리 길조로 여겨졌어요.

*TMI : 라벨에 그려진 하얀 까마귀는 ‘까미’라는 귀여운 이름을 갖고 있어요.

막걸리를 많이 마셔 몸이 하얘졌다는 재밌는 스토리가 담겨 있답니다!


굿즈 풀패키지 상품 옵션
하얀까마귀 생막걸리(850ml) 1병 + 전용잔 1입 + 스티커 2종 + 마그넷 1개"
1158,양지백주,탁주,15,5,7,6,5,0,,,,,,,https://www.sooldamhwa.com/_next/image?url=https%3A%2F%2Fd38cxpfv0ljg7q.cloudfront.net%2Fadmin_contents%2Fthumbnail%2F2BrE-1639125133588-%25EC%2596%2591%25EC%25A7%2580%25EB%25B0%25B1%25EC%25A3%25BC.jpg&w=3840&q=75,"양지백주, 어떤 맛을 갖고 있나요?

뽀얀 요거트에 잿빛 한 방울 떨어뜨린 것 같은 양지백주는 고소한 잣 향과 은은한 씁쓰름함을 가진 술이에요.

매우 고운 입자로 부드러운 질감을 갖고 있고요, 한 병만 비워도 엄청난 포만감을 들게 한답니다.

쌀의 풍미와 함께 올라오는 은은한 달콤함에

자칫하면 높은 도수를 잊게 만들 수 있으니 주의하세요!
 양지백주, 어떤 음식과 잘 어울리나요?

새콤달콤한 맛과 적당한 담백함이 조화로운 양지백주는 반주하기 딱 좋은 술이에요.

특히 양지백주의 부드러운 맛은 고추장 베이스 음식과 만났을 때 감칠맛이 배가 되죠.

닭볶음탕, 고추장찌개도 좋고 집에 있는 밑반찬으로도 최고의 안주가 될 거에요.

밥 한 공기 뚝딱! 양지백주 한 병 뚝딱! 금방이랍니다!
 양지백주, 알고 마시면 더 맛있어요!

전통누룩을 사용해 삼양주 제조 방식으로 빚어진 술이에요.

삼양주는 술을 3번 담금으로써 3번의 발효 과정을 거치기 때문에 깊이 있고 안정적인 맛을 낼 수 있어요.

또한 양지백주는 30일 동안의 발효를 끝내고 30일의 숙성 기간도 보내기 때문에

그만큼 많은 시간과 정성이 들어간 탁주랍니다."
