,al_id,u_id,datetime
0,1230,0,2022.05.27
1,292,0,2022.05.27
2,1219,0,2022.05.27
3,1187,0,2022.05.27
4,1169,0,2022.05.27
5,1216,0,2022.05.27
6,280,0,2022.05.27
7,1224,0,2022.05.27
8,1094,0,2022.05.27
9,190,0,2022.05.27
10,220,0,2022.05.27
11,193,0,2022.05.27
12,1230,1,2022.05.26
13,207,1,2021.01.03
14,1169,1,2022.04.16
15,208,1,2021.01.03
16,257,1,2021.01.06
17,257,1,2020.10.15
18,194,1,2020.10.05
19,76,1,2020.10.08
20,202,1,2021.01.21
21,243,1,2021.12.24
22,77,1,2021.10.09
23,227,1,2022.02.09
24,1094,1,2022.03.12
25,1064,1,2022.04.16
26,1198,2,2022.06.23
27,1198,3,2022.05.04
28,1158,3,2022.05.03
29,1223,3,2022.05.04
30,1216,3,2022.05.02
31,1198,4,2022.07.11
32,1198,5,2022.02.19
33,1198,6,2022.06.21
34,1198,7,2022.03.07
35,1198,7,2022.02.23
36,1101,7,2022.02.23
37,1198,8,2022.05.24
38,275,8,2021.09.03
39,140,8,2021.09.03
40,72,8,2021.01.16
41,72,8,2020.12.24
42,145,8,2021.08.31
43,145,8,2021.01.16
44,283,8,2021.09.03
45,151,8,2021.02.06
46,151,8,2020.03.02
47,188,8,2020.03.02
48,257,8,2022.06.24
49,231,8,2020.12.19
50,202,8,2020.12.19
51,1170,8,2022.04.25
52,95,8,2022.01.12
53,1113,8,2022.04.25
54,324,8,2022.01.12
55,77,8,2021.08.04
56,90,8,2022.01.12
57,89,8,2022.01.12
58,162,8,2021.08.05
59,326,8,2022.01.12
60,70,8,2022.04.25
61,70,8,2021.01.16
62,70,8,2020.12.19
63,1092,8,2022.01.12
64,1190,8,2022.03.10
65,227,8,2022.01.12
66,81,8,2022.01.12
67,1198,9,2022.07.06
68,1198,10,2022.05.08
69,275,10,2021.09.11
70,72,10,2021.01.30
71,153,10,2022.06.14
72,153,10,2022.05.25
73,153,10,2022.05.09
74,153,10,2022.05.08
75,153,10,2022.05.08
76,257,10,2022.04.19
77,257,10,2021.01.30
78,304,10,2022.04.25
79,199,10,2022.06.08
80,345,10,2022.04.25
81,77,10,2021.09.21
82,77,10,2021.09.15
83,77,10,2021.07.29
84,1150,10,2022.03.22
85,1134,10,2022.07.19
86,220,10,2022.01.14
87,224,10,2021.09.15
88,1198,11,2022.03.23
89,194,11,2022.03.23
90,1167,11,2022.03.23
91,1158,12,2022.05.26
92,1102,13,2022.01.14
93,70,13,2022.01.14
94,1102,14,2022.01.06
95,1037,14,2022.01.06
96,1102,15,2022.08.07
97,90,15,2022.08.10
98,89,15,2022.08.10
99,1124,15,2022.08.07
100,363,15,2022.08.07
101,222,15,2022.08.07
102,1102,16,2022.06.29
103,257,16,2022.02.18
104,1049,16,2021.09.07
105,1102,17,2022.03.04
106,105,17,2022.03.04
107,87,17,2022.03.04
108,1102,18,2022.02.06
109,275,18,2022.02.06
110,1102,19,2022.04.25
111,140,19,2022.04.25
112,1102,20,2022.01.21
113,162,20,2021.11.11
114,70,20,2021.11.11
115,81,20,2021.11.11
116,1102,21,2022.07.26
117,77,21,2021.02.05
118,193,21,2022.04.20
119,1102,22,2021.10.29
120,1101,22,2021.10.28
121,202,22,2021.11.03
122,1012,22,2021.11.15
123,1093,23,2022.04.15
124,1093,24,2022.07.16
125,1092,24,2022.07.16
126,1111,24,2022.07.16
127,219,24,2022.07.16
128,220,24,2022.07.16
129,1093,25,2022.07.06
130,77,25,2022.07.06
131,77,25,2022.07.06
132,70,25,2022.07.06
133,1111,25,2022.07.06
134,1064,25,2022.07.06
135,224,25,2022.07.06
136,1093,26,2021.11.03
137,1051,26,2022.06.28
138,1051,26,2022.06.28
139,1051,26,2022.06.21
140,1051,26,2021.11.03
141,1051,26,2021.11.03
142,151,26,2020.11.23
143,257,26,2020.11.20
144,304,26,2022.06.28
145,304,26,2022.06.28
146,304,26,2022.06.28
147,304,26,2022.06.28
148,304,26,2022.06.28
149,304,26,2022.06.28
150,304,26,2022.06.28
151,93,26,2022.06.28
152,93,26,2022.06.28
153,93,26,2022.06.28
154,93,26,2022.06.28
155,93,26,2022.06.28
156,76,26,2020.11.23
157,314,26,2022.06.27
158,202,26,2022.06.28
159,1054,26,2022.05.24
160,77,26,2022.05.24
161,1019,26,2021.11.18
162,89,26,2021.11.18
163,70,26,2022.06.28
164,70,26,2022.05.24
165,1216,26,2022.06.28
166,1092,26,2022.05.02
167,1092,26,2021.11.03
168,1092,26,2021.11.03
169,1092,26,2021.11.03
170,280,26,2022.01.24
171,1064,26,2022.05.24
172,308,26,2022.06.21
173,224,26,2022.05.24
174,1093,27,2022.07.14
175,1093,27,2022.07.07
176,153,27,2022.07.14
177,153,27,2022.07.07
178,1093,28,2022.07.06
179,1093,28,2022.07.06
180,153,28,2022.07.06
181,1217,28,2022.07.06
182,1217,28,2022.07.06
183,1051,28,2022.07.06
184,1051,28,2022.07.06
185,1051,28,2022.07.06
186,1051,28,2022.06.14
187,304,28,2022.07.06
188,93,28,2022.07.06
189,93,28,2022.06.14
190,281,28,2022.07.06
191,281,28,2022.07.06
192,254,28,2022.07.06
193,95,28,2022.07.06
194,1043,28,2022.07.06
195,77,28,2022.07.06
196,77,28,2022.07.06
197,77,28,2022.07.06
198,1105,28,2022.07.06
199,66,28,2022.07.06
200,299,28,2022.07.06
201,1216,28,2022.07.06
202,1064,28,2022.07.06
203,1064,28,2022.07.06
204,1064,28,2022.06.14
205,224,28,2022.07.06
206,1093,29,2022.07.20
207,144,29,2022.07.20
208,1217,29,2022.07.20
209,1187,29,2022.02.16
210,1050,29,2022.02.16
211,283,29,2021.08.24
212,151,29,2021.07.06
213,106,29,2022.07.20
214,257,29,2021.04.06
215,194,29,2022.02.16
216,148,29,2022.01.16
217,148,29,2021.12.08
218,202,29,2021.04.06
219,340,29,2021.08.24
220,340,29,2021.08.03
221,1043,29,2022.02.16
222,77,29,2021.11.01
223,77,29,2021.06.18
224,1065,29,2021.12.02
225,70,29,2021.06.18
226,66,29,2022.07.20
227,66,29,2022.01.20
228,1013,29,2021.08.24
229,1124,29,2022.07.20
230,1119,29,2022.01.10
231,1111,29,2022.02.16
