,client_name,u_id,al_name,al_id,score,al_review,date
0,거북이마을,0,이상헌 탁주 14%,1230,5.0,,2022.05.27
1,이*영,1,이상헌 탁주 14%,1230,4.5,"왜 한 병만 시켰을까 후회될 정도.
처음 약한 산미로 시작하여 풍부한 쌀맛에 단맛이 많지 않고 기품있는 피니시. 너무 맑지도 걸죽하지도 탁하지도 않은 인생 막걸리 찾음.",2022.05.26
2,hyeeock,52,배금도가 수제 막걸리,1198,5.0,,2022.06.23
3,pang21,54,배금도가 수제 막걸리,1198,5.0,,2022.05.04
4,sekire1,50,배금도가 수제 막걸리,1198,4.0,맛과 향이 좋습니다. 토니워터 타서 마시면 아주 좋습니다.,2022.07.11
5,밥쥬셩,56,배금도가 수제 막걸리,1198,4.5,,2022.02.19
6,아벨라,34,배금도가 수제 막걸리,1198,5.0,처음 열었을 때 새콤쿱쿱한데 상큼한 그 느낌이 너무 좋아요! 심지어 맛있어서 술술 넘어갑니다. 12도인거 감안하고 천천히 먹어야 할 거 같아욥,2022.06.21
7,오리삐삐,55,배금도가 수제 막걸리,1198,4.5,계속 구매해서 먹고 있습니다. 집에서 저녁에 안주와 함께 언제든지 먹을수 있어 좋은거 같아요,2022.03.07
8,오리삐삐,55,배금도가 수제 막걸리,1198,5.0,새로운 막걸리가 눈에 띄어서 우선 작은것부터 시작하려고 구입을 하였습니다. 먹고 나서는 계속 도전하면서 구매할거 같아요,2022.02.23
9,이*훈,53,배금도가 수제 막걸리,1198,4.5,맛나네요,2022.05.24
10,장*신,51,배금도가 수제 막걸리,1198,5.0,받는 지인이 엄지척 하였습니다.,2022.07.06
11,탈퇴회원,43,배금도가 수제 막걸리,1198,5.0,"막걸리라 생각 하기에 너무 고급진맛이에요.
진하면서 부드럽고 목넘김이 좋은 위에 부담도 되지않네요.",2022.05.08
12,호호호,36,배금도가 수제 막걸리,1198,4.5,배송이 빠르고 좋습니다.,2022.03.23
13,pang21,54,양지백주,1158,5.0,?,2022.05.03
